,538,ESPN
0,Louisiana State,CSU Fullerton
1,Connecticut,J'Ville St
2,Saint Mary's (CA),LSU
3,Loyola (IL),Loyola Chicago
4,Texas Christian,Miami
5,Southern California,New Mexico St
6,Alabama-Birmingham,S Dakota St
7,Miami (FL),Saint Mary's
8,South Dakota State,TCU
9,New Mexico State,UAB
10,Jacksonville State,UConn
11,Cal State Fullerton,USC
