winner,f1,f2,EV,n
Virginia,Virginia,Ohio State,-8.70590909090909,44.0
Michigan,Michigan,West Virginia,-8.72342857142857,70.0
Gonzaga,Gonzaga,San Diego State,-9.386666666666667,51.0
Michigan,Michigan,Texas Tech,-9.521052631578948,19.0
Florida State,Florida State,Baylor,-10.102666666666664,75.0
Kansas,Kansas,Houston,-10.141818181818184,33.0
Texas,Texas,Houston,-10.165238095238095,42.0
Baylor,Oklahoma,Baylor,-10.253076923076922,26.0
Florida State,Florida State,Illinois,-10.573731343283582,67.0
Michigan,Michigan,Tennessee,-10.695384615384615,26.0
Florida State,Florida State,Ohio State,-10.79304347826087,23.0
Texas,Texas,Ohio State,-10.841851851851855,54.0
Kansas,Kansas,Ohio State,-11.111891891891892,74.0
Kansas,Kansas,Illinois,-11.206611570247937,121.0
Gonzaga,Gonzaga,Villanova,-11.258478260869568,184.0
Gonzaga,Gonzaga,Oklahoma State,-11.304893617021266,376.0
Texas,Texas,Illinois,-11.33063063063063,111.0
Purdue,Gonzaga,Purdue,-11.397916666666667,48.0
Kansas,Kansas,Baylor,-11.449784172661877,139.0
Michigan,Michigan,North Carolina,-11.619000000000002,20.0
Texas,Texas,Baylor,-11.628750000000005,112.0
Gonzaga,Gonzaga,North Carolina,-11.750612244897965,98.0
Texas Tech,Gonzaga,Texas Tech,-11.831515151515152,33.0
Purdue,Michigan,Purdue,-11.996666666666664,24.0
Michigan,Michigan,Arkansas,-12.154545454545456,44.0
Arkansas,Iowa,Arkansas,-12.166451612903225,31.0
Gonzaga,Gonzaga,Loyola (IL),-12.397941176470589,68.0
West Virginia,Michigan,West Virginia,-12.481290322580644,31.0
Michigan,Michigan,Oklahoma State,-12.502926829268294,82.0
Illinois,Missouri,Illinois,-12.54842105263158,19.0
West Virginia,Iowa,West Virginia,-12.62102564102564,39.0
West Virginia,Gonzaga,West Virginia,-12.861157024793393,121.0
Michigan,Michigan,Villanova,-13.004999999999999,32.0
Creighton,Creighton,Baylor,-13.101481481481482,27.0
Creighton,Creighton,Illinois,-13.205217391304348,23.0
Texas Tech,Michigan,Texas Tech,-13.350000000000001,16.0
Arkansas,Michigan,Arkansas,-13.446896551724135,29.0
Illinois,Oklahoma,Illinois,-13.498518518518516,27.0
Texas,Texas,Oklahoma State,-13.608148148148146,27.0
Baylor,Norfolk State,Baylor,-13.790666666666663,30.0
Arkansas,Gonzaga,Arkansas,-14.007272727272726,66.0
Illinois,Norfolk State,Illinois,-14.028292682926834,41.0
Gonzaga,Gonzaga,Florida,-14.11235294117647,34.0
Gonzaga,Gonzaga,Rutgers,-14.241176470588234,17.0
Tennessee,Gonzaga,Tennessee,-14.244499999999999,40.0
Wisconsin,Gonzaga,Wisconsin,-14.292258064516128,31.0
Southern California,Southern California,Illinois,-14.532222222222222,18.0
Southern California,Southern California,Baylor,-14.708750000000002,16.0
Oklahoma State,Iowa,Oklahoma State,-15.016111111111112,36.0
Gonzaga,Gonzaga,Virginia Tech,-15.075999999999999,25.0
Gonzaga,Gonzaga,Georgia Tech,-15.366666666666664,42.0
Connecticut,Connecticut,Baylor,-15.922999999999998,20.0
Gonzaga,Gonzaga,Syracuse,-15.988666666666665,30.0
Oklahoma State,Texas,Oklahoma State,-16.185454545454544,22.0
San Diego State,Gonzaga,San Diego State,-16.26285714285714,21.0
Louisiana State,Louisiana State,Illinois,-16.270434782608696,23.0
Louisiana State,Louisiana State,Baylor,-16.299090909090914,22.0
Connecticut,Connecticut,Illinois,-16.346956521739127,23.0
North Carolina,Michigan,North Carolina,-16.35333333333334,24.0
Oklahoma State,Alabama,Oklahoma State,-16.37185185185185,27.0
Gonzaga,Gonzaga,Colgate,-16.434117647058823,17.0
North Carolina,Gonzaga,North Carolina,-16.71578947368421,57.0
Oklahoma State,Gonzaga,Oklahoma State,-16.97692307692308,130.0
Brigham Young,Brigham Young,Baylor,-17.07578947368421,19.0
Gonzaga,Gonzaga,Clemson,-17.12764705882353,34.0
Villanova,Gonzaga,Villanova,-17.12782608695652,46.0
Gonzaga,Gonzaga,Oregon State,-17.13263157894737,19.0
Oklahoma State,Michigan,Oklahoma State,-17.220377358490566,53.0
Brigham Young,Brigham Young,Illinois,-17.684761904761906,21.0
Gonzaga,Gonzaga,Liberty,-17.775,16.0
Loyola (IL),Gonzaga,Loyola (IL),-17.817297297297287,37.0
Gonzaga,Gonzaga,Hartford,-18.095151515151517,33.0
Oregon,Oregon,Illinois,-18.150833333333335,24.0
Oregon,Oregon,Baylor,-18.264444444444443,27.0
Oklahoma,Oklahoma,Ohio State,-18.461176470588235,17.0
Gonzaga,Gonzaga,Drexel,-18.63769230769231,26.0
Oklahoma,Oklahoma,Illinois,-19.04206896551724,29.0
Georgia Tech,Gonzaga,Georgia Tech,-19.1325,24.0
Oklahoma,Oklahoma,Baylor,-19.217857142857138,28.0
Missouri,Missouri,Illinois,-19.46916666666667,24.0
Missouri,Missouri,Baylor,-19.47176470588235,17.0
Clemson,Gonzaga,Clemson,-19.564444444444444,18.0
Drexel,Gonzaga,Drexel,-19.757777777777775,18.0
Norfolk State,Norfolk State,Baylor,-19.77714285714286,21.0
Norfolk State,Norfolk State,Illinois,-19.810833333333335,24.0
