winner,f1,f2,EV,n
Baylor,Gonzaga,Baylor,16.310678571428564,1120.0
Illinois,Gonzaga,Illinois,13.613381201044406,1532.0
Gonzaga,Gonzaga,Houston,13.181791044776114,737.0
Illinois,Iowa,Illinois,12.231846153846154,390.0
Baylor,Iowa,Baylor,12.174084507042258,284.0
Houston,Gonzaga,Houston,12.104981132075471,265.0
Houston,Iowa,Houston,11.81136363636364,88.0
Baylor,Alabama,Baylor,10.832314814814831,216.0
Houston,Alabama,Houston,9.66888888888889,54.0
Houston,Michigan,Houston,9.558409090909088,88.0
Illinois,Alabama,Illinois,9.265096525096535,259.0
Iowa,Iowa,Illinois,9.101933333333331,300.0
Baylor,Michigan,Baylor,8.94172413793103,406.0
Iowa,Iowa,Houston,8.510869565217394,92.0
Iowa,Iowa,Baylor,7.7580198019802005,303.0
Baylor,Florida State,Baylor,6.357837837837839,74.0
Illinois,Michigan,Illinois,6.083798882681562,537.0
Gonzaga,Gonzaga,Illinois,5.1727719298245525,2565.0
Iowa,Iowa,Purdue,5.012173913043477,23.0
Houston,Texas,Houston,4.5855999999999995,25.0
Iowa,Iowa,Ohio State,4.362400000000003,125.0
Baylor,Virginia,Baylor,3.0817391304347828,69.0
Illinois,Florida State,Illinois,2.8714999999999984,80.0
Iowa,Iowa,Arkansas,2.845,20.0
Gonzaga,Gonzaga,Ohio State,2.6158932238193078,974.0
Gonzaga,Gonzaga,Baylor,2.436545794392526,2675.0
Houston,Kansas,Houston,1.8345454545454538,33.0
Alabama,Alabama,Houston,1.341538461538461,52.0
Ohio State,Iowa,Ohio State,1.0407547169811322,106.0
Ohio State,Gonzaga,Ohio State,1.0308753315649868,377.0
Ohio State,Alabama,Ohio State,0.6642857142857141,70.0
Baylor,Texas,Baylor,0.6452892561983472,121.0
Baylor,Kansas,Baylor,0.3189393939393939,132.0
Iowa,Iowa,West Virginia,0.2422222222222222,36.0
Illinois,Virginia,Illinois,0.15415094339622648,106.0
Iowa,Iowa,North Carolina,-0.2800000000000008,16.0
Illinois,Texas,Illinois,-0.5825149700598806,167.0
Alabama,Alabama,Illinois,-0.6362318840579708,207.0
Illinois,Kansas,Illinois,-0.9155555555555552,153.0
Alabama,Alabama,Ohio State,-1.0425287356321835,87.0
Baylor,Creighton,Baylor,-1.3392000000000002,25.0
Ohio State,Florida State,Ohio State,-1.5333333333333332,21.0
Alabama,Alabama,Baylor,-1.6240723981900456,221.0
Ohio State,Michigan,Ohio State,-2.1705063291139237,158.0
Iowa,Iowa,Villanova,-2.491578947368421,19.0
Ohio State,Texas,Ohio State,-2.592571428571429,35.0
Illinois,Creighton,Illinois,-3.1735714285714285,28.0
Ohio State,Virginia,Ohio State,-3.381290322580647,31.0
Ohio State,Kansas,Ohio State,-3.704,45.0
Gonzaga,Gonzaga,Purdue,-4.012702702702702,148.0
Iowa,Iowa,Oklahoma State,-4.053809523809522,42.0
Baylor,Southern California,Baylor,-4.4056,25.0
Alabama,Alabama,West Virginia,-4.429655172413792,29.0
Michigan,Michigan,Houston,-4.7354117647058835,170.0
Illinois,Southern California,Illinois,-4.808181818181819,22.0
Gonzaga,Gonzaga,Texas Tech,-4.855087719298247,114.0
Gonzaga,Gonzaga,West Virginia,-5.147231270358305,307.0
Gonzaga,Gonzaga,Wisconsin,-5.832000000000001,40.0
Michigan,Michigan,Illinois,-5.889841827768009,569.0
Florida State,Florida State,Houston,-6.025882352941176,17.0
Gonzaga,Gonzaga,Arkansas,-6.132163742690058,171.0
Gonzaga,Gonzaga,Tennessee,-6.2839024390243905,123.0
Virginia,Virginia,Houston,-6.699999999999998,26.0
Alabama,Alabama,Purdue,-6.711111111111111,18.0
Illinois,Brigham Young,Illinois,-6.724761904761906,21.0
Michigan,Michigan,Baylor,-6.789983361064896,601.0
Illinois,Louisiana State,Illinois,-7.285599999999999,25.0
Alabama,Alabama,Oklahoma State,-7.327142857142857,28.0
Michigan,Michigan,Ohio State,-7.482053571428573,224.0
Virginia,Virginia,Illinois,-8.216559139784946,93.0
Michigan,Michigan,Purdue,-8.569756097560974,41.0
Virginia,Virginia,Baylor,-8.675757575757576,99.0
Illinois,Connecticut,Illinois,-8.68952380952381,21.0
