winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,10.621874999999998,16.0
Gonzaga,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,10.553365384615384,52.0
Illinois,Iowa,Illinois,Illinois,Texas,Ohio State,Iowa,10.494705882352942,17.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,10.450897435897442,78.0
Illinois,Gonzaga,Illinois,Illinois,Connecticut,Baylor,Gonzaga,10.447666666666668,15.0
Gonzaga,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,10.209779411764705,68.0
Gonzaga,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,10.159204545454545,44.0
Gonzaga,Gonzaga,Houston,Houston,Florida State,Ohio State,Gonzaga,10.138076923076925,13.0
Illinois,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,10.01913043478261,23.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Arkansas,Gonzaga,9.927727272727271,11.0
Baylor,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,9.897941176470587,68.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Purdue,Gonzaga,9.885666666666667,30.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,9.884583333333332,48.0
Baylor,Florida State,Baylor,Illinois,Florida State,Baylor,Gonzaga,9.848695652173914,23.0
Baylor,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,9.736882352941171,85.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Iowa,9.678854166666667,48.0
Illinois,Florida State,Illinois,Illinois,Florida State,Baylor,Gonzaga,9.648750000000001,20.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Purdue,Gonzaga,9.63653846153846,13.0
Baylor,Gonzaga,Baylor,Illinois,Connecticut,Baylor,Gonzaga,9.585,17.0
Gonzaga,Gonzaga,Baylor,Tennessee,Texas,Baylor,Gonzaga,9.573749999999997,16.0
Baylor,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,9.554666666666666,30.0
Gonzaga,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,9.48166666666667,54.0
Gonzaga,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,9.431842105263161,171.0
Baylor,Alabama,Baylor,Houston,Alabama,Baylor,Gonzaga,9.387500000000001,14.0
Illinois,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,9.3075,20.0
Gonzaga,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,9.184528301886797,106.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,9.173125,24.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,8.899482758620689,29.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Villanova,Gonzaga,8.898214285714285,14.0
Baylor,Texas,Baylor,Illinois,Texas,Baylor,Gonzaga,8.890576923076923,26.0
Illinois,Michigan,Illinois,Illinois,Michigan,Arkansas,Iowa,8.87923076923077,13.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,8.677435897435899,39.0
Illinois,Michigan,Illinois,Illinois,Michigan,Arkansas,Gonzaga,8.630277777777776,18.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Arkansas,Gonzaga,8.596666666666666,12.0
Baylor,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,8.4915625,32.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,8.45930379746835,79.0
Gonzaga,Gonzaga,Baylor,Illinois,Connecticut,Baylor,Gonzaga,8.454629629629629,27.0
Illinois,Iowa,Illinois,Illinois,Florida State,Baylor,Iowa,8.435,14.0
Gonzaga,Gonzaga,Ohio State,Houston,Texas,Ohio State,Gonzaga,8.389038461538462,26.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Texas Tech,Gonzaga,8.381538461538462,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,8.333164556962027,79.0
Baylor,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,8.313055555555556,18.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Kansas,8.28,13.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,8.2775,18.0
Baylor,Michigan,Baylor,Houston,Michigan,Baylor,Iowa,8.227916666666665,12.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Kansas,8.201964285714284,28.0
Baylor,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,8.099651162790696,43.0
Baylor,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,8.051216216216215,37.0
Gonzaga,Gonzaga,Baylor,San Diego State,Michigan,Baylor,Gonzaga,7.961666666666666,21.0
Illinois,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,7.917222222222222,36.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Texas Tech,Gonzaga,7.912222222222223,18.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Arkansas,Gonzaga,7.867916666666666,24.0
Baylor,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,7.8618749999999995,16.0
Gonzaga,Gonzaga,Baylor,Loyola (IL),Michigan,Baylor,Gonzaga,7.844687500000001,16.0
Baylor,Alabama,Baylor,West Virginia,Alabama,Baylor,Gonzaga,7.786428571428572,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,7.762083333333333,24.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,7.752750000000002,40.0
Baylor,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,7.5209,50.0
Gonzaga,Gonzaga,Ohio State,Houston,Florida State,Ohio State,Gonzaga,7.513214285714286,14.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,7.4715,30.0
Gonzaga,Gonzaga,Illinois,Illinois,Connecticut,Baylor,Gonzaga,7.310192307692309,26.0
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Baylor,Gonzaga,7.276818181818183,22.0
Gonzaga,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,7.199253731343284,67.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Wisconsin,Gonzaga,7.078846153846153,13.0
Gonzaga,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,7.019509803921569,102.0
Baylor,Michigan,Baylor,West Virginia,Michigan,Baylor,Gonzaga,6.96264705882353,17.0
Gonzaga,Gonzaga,Baylor,Illinois,Brigham Young,Baylor,Gonzaga,6.953235294117647,34.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Texas Tech,Gonzaga,6.847500000000001,16.0
Baylor,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,6.846071428571428,14.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,6.833709677419354,31.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,6.819042553191489,47.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,North Carolina,Gonzaga,6.775714285714285,14.0
Illinois,Gonzaga,Illinois,Illinois,Louisiana State,Ohio State,Gonzaga,6.7625,12.0
Gonzaga,Gonzaga,Baylor,Illinois,Georgetown,Baylor,Gonzaga,6.698461538461538,13.0
Baylor,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,6.682272727272727,11.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,6.6621951219512185,41.0
Gonzaga,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,6.464722222222221,36.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,North Carolina,Gonzaga,6.393214285714285,28.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,6.388823529411765,17.0
Illinois,Virginia,Illinois,Illinois,Alabama,Baylor,Virginia,6.381153846153847,13.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,6.3156451612903215,31.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Texas Tech,Gonzaga,6.245178571428572,28.0
Illinois,Michigan,Illinois,Illinois,Michigan,Purdue,Gonzaga,6.187333333333333,15.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,6.1472727272727266,33.0
Baylor,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,6.147244897959184,49.0
Illinois,Kansas,Illinois,Illinois,Michigan,Baylor,Kansas,6.140789473684211,19.0
Gonzaga,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,6.095,23.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Purdue,Gonzaga,5.771666666666666,12.0
Baylor,Gonzaga,Baylor,Drexel,Michigan,Baylor,Gonzaga,5.61625,12.0
Illinois,Virginia,Illinois,Illinois,Michigan,Ohio State,Virginia,5.4804545454545455,11.0
Baylor,Kansas,Baylor,Illinois,Michigan,Baylor,Kansas,5.141304347826087,23.0
