winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,12.169508196721313,244.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Texas Tech,Gonzaga,12.092307692307692,13.0
Iowa,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,12.083076923076923,13.0
Baylor,Alabama,Baylor,Houston,Alabama,Baylor,Gonzaga,12.044285714285715,14.0
Iowa,Iowa,Baylor,Houston,Alabama,Baylor,Iowa,11.989090909090908,11.0
Iowa,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,11.97826086956522,46.0
Houston,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,11.96818181818182,22.0
Houston,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,11.957142857142856,14.0
Houston,Alabama,Houston,Houston,Alabama,Ohio State,Gonzaga,11.87,12.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,11.866461538461536,130.0
Illinois,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,11.859130434782609,23.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Arkansas,Gonzaga,11.833333333333336,12.0
Baylor,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,11.811111111111112,18.0
Gonzaga,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,11.769333333333337,120.0
Baylor,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,11.7544,50.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,11.70375,16.0
Gonzaga,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,11.680103626943001,193.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Purdue,Gonzaga,11.472000000000003,15.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,11.44896551724138,29.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Iowa,11.409032258064515,31.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Arkansas,Gonzaga,11.405454545454544,11.0
Illinois,Florida State,Illinois,Illinois,Florida State,Baylor,Gonzaga,11.361999999999998,20.0
Illinois,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,11.314,20.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,11.310909090909092,33.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,11.287179487179488,78.0
Baylor,Gonzaga,Baylor,Oklahoma State,Alabama,Baylor,Gonzaga,11.0776,25.0
Iowa,Iowa,Illinois,Illinois,Alabama,Ohio State,Iowa,11.074000000000002,20.0
Iowa,Iowa,Houston,Houston,Michigan,Ohio State,Iowa,11.041176470588237,17.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Kansas,11.036923076923076,13.0
Illinois,Iowa,Illinois,Illinois,Michigan,Arkansas,Iowa,11.010000000000002,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,10.628671328671325,143.0
Baylor,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,10.575714285714286,14.0
Illinois,Iowa,Illinois,Illinois,Florida State,Baylor,Iowa,10.532857142857143,14.0
Iowa,Iowa,Baylor,Houston,Michigan,Baylor,Iowa,10.301739130434783,23.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Purdue,Gonzaga,10.233333333333333,12.0
Baylor,Gonzaga,Baylor,Illinois,Louisiana State,Baylor,Gonzaga,10.23076923076923,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,10.219927007299273,274.0
Gonzaga,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,10.095294117647057,68.0
Illinois,Gonzaga,Illinois,Illinois,Brigham Young,Baylor,Gonzaga,10.065882352941177,17.0
Iowa,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,9.998709677419354,31.0
Iowa,Iowa,Baylor,Illinois,Florida State,Baylor,Iowa,9.98266666666667,15.0
Baylor,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,9.96625,16.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,9.89592677345538,437.0
Baylor,Texas,Baylor,Illinois,Texas,Baylor,Gonzaga,9.77,26.0
Illinois,Michigan,Illinois,Illinois,Michigan,Arkansas,Iowa,9.763076923076923,13.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,9.3685,40.0
Gonzaga,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,8.982909090909091,275.0
Gonzaga,Gonzaga,Ohio State,Houston,Florida State,Ohio State,Gonzaga,8.954285714285712,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Purdue,Gonzaga,8.863333333333335,30.0
Baylor,Michigan,Baylor,West Virginia,Michigan,Baylor,Gonzaga,8.754117647058825,17.0
Baylor,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,8.704081632653063,49.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Kansas,8.632142857142856,28.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,8.584516129032256,31.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,8.40709677419355,31.0
Iowa,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,8.330769230769231,13.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Arkansas,Gonzaga,8.301818181818183,11.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,North Carolina,Gonzaga,8.24142857142857,14.0
Gonzaga,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,7.649545454545454,44.0
Iowa,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,7.394545454545453,33.0
Gonzaga,Gonzaga,Ohio State,Houston,Texas,Ohio State,Gonzaga,7.33923076923077,26.0
Gonzaga,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,7.2854716981132075,106.0
Gonzaga,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,7.194117647058823,17.0
Illinois,Virginia,Illinois,Illinois,Alabama,Baylor,Virginia,7.190769230769231,13.0
Baylor,Michigan,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,7.132857142857142,14.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,6.999999999999999,18.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,6.948421052631581,76.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,6.878333333333333,48.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,6.8740000000000006,30.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,6.844166666666669,24.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,6.768679245283019,159.0
Illinois,Kansas,Illinois,Illinois,Alabama,Baylor,Kansas,6.688571428571429,14.0
