winner,EV,n
Houston,-16.270992125984247,635.0
Texas Tech,-16.96486486486487,74.0
Colorado,-16.99531914893617,47.0
Baylor,-17.102168855534654,2665.0
Wisconsin,-17.29710144927536,69.0
Illinois,-17.334683257918492,3536.0
Iowa,-17.45883349012229,1063.0
Creighton,-17.873148148148147,108.0
Purdue,-17.897619047619052,126.0
Alabama,-17.934759945130317,729.0
San Diego State,-17.9777358490566,53.0
Ohio State,-18.018849840255587,939.0
Southern California,-18.077599999999997,50.0
Gonzaga,-18.092215915414634,8985.0
Florida State,-18.15419913419912,231.0
Virginia,-18.225652173913055,322.0
Tennessee,-18.29428571428572,98.0
Arkansas,-18.58338461538462,195.0
West Virginia,-18.721764705882364,272.0
Louisiana State,-18.80938271604939,81.0
Connecticut,-18.833913043478262,69.0
Texas,-18.884202898550758,414.0
Kansas,-18.913598233995604,453.0
Michigan,-18.979483358171805,2013.0
Brigham Young,-18.98711864406779,59.0
Florida,-19.001481481481484,27.0
North Carolina,-19.134218750000002,128.0
Maryland,-19.143846153846155,26.0
Michigan State,-19.27285714285714,28.0
Loyola (IL),-19.308915662650598,83.0
Oregon,-19.34476190476191,84.0
Villanova,-19.37102362204725,127.0
Syracuse,-19.513953488372092,43.0
Georgia Tech,-19.515111111111107,45.0
Oklahoma State,-19.626588921282824,343.0
St. Bonaventure,-19.683448275862066,29.0
Georgetown,-19.74315789473684,38.0
Virginia Commonwealth,-19.8,16.0
Virginia Tech,-19.874285714285715,21.0
Clemson,-19.892121212121214,33.0
Oklahoma,-19.90592592592593,108.0
Missouri,-19.92788732394366,71.0
UC-Santa Barbara,-19.943157894736842,19.0
Mount St. Mary's,-19.98,20.0
Liberty,-19.985454545454544,22.0
Hartford,-19.98918918918919,37.0
Drexel,-19.991111111111113,45.0
Norfolk State,-19.99657142857143,70.0
Grand Canyon,-20.0,18.0
Cleveland State,-20.0,21.0
Oral Roberts,-20.0,18.0
Ohio,-20.0,33.0
Winthrop,-20.0,20.0
Abilene Christian,-20.0,18.0
