winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Baylor,Florida State,Baylor,Illinois,Florida State,Baylor,Iowa,-13.497142857142856,7.0
Houston,Iowa,Houston,Houston,Michigan,Baylor,Iowa,-13.586666666666664,12.0
Baylor,Iowa,Baylor,Houston,Alabama,Baylor,Iowa,-13.725,8.0
Gonzaga,Gonzaga,Wisconsin,Illinois,Michigan,Wisconsin,Gonzaga,-13.743333333333334,6.0
Baylor,Virginia,Baylor,Illinois,Michigan,Baylor,Virginia,-13.985999999999999,10.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Virginia,-13.99,8.0
Illinois,Florida State,Illinois,Illinois,Florida State,Baylor,Iowa,-14.131111111111112,9.0
Houston,Iowa,Houston,Houston,Alabama,Baylor,Iowa,-14.203333333333333,6.0
Baylor,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,-14.280555555555553,36.0
Houston,Iowa,Houston,Houston,Alabama,Ohio State,Iowa,-14.334999999999997,8.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Iowa,-14.377142857142855,14.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,-14.38920634920635,63.0
Houston,Iowa,Houston,Houston,Michigan,Ohio State,Iowa,-14.457777777777778,9.0
Houston,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,-14.507142857142858,14.0
Baylor,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,-14.535636363636362,55.0
Houston,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,-14.587272727272728,22.0
Illinois,Iowa,Illinois,Illinois,Texas,Arkansas,Iowa,-14.733333333333333,6.0
Illinois,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,-14.764102564102563,39.0
Houston,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,-14.774117647058821,34.0
Illinois,Iowa,Illinois,Illinois,Florida State,Baylor,Iowa,-14.81857142857143,14.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Virginia,-14.820000000000002,6.0
Houston,Michigan,Houston,Houston,Michigan,Baylor,Iowa,-14.861999999999998,10.0
Houston,Alabama,Houston,Houston,Alabama,Ohio State,Gonzaga,-14.878333333333336,12.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,-14.946333333333339,60.0
Baylor,Iowa,Baylor,Houston,Michigan,Baylor,Iowa,-15.024615384615384,13.0
Iowa,Iowa,Houston,Houston,Michigan,Baylor,Iowa,-15.041428571428572,14.0
Houston,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,-15.050666666666668,15.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Kansas,-15.0625,8.0
Houston,Alabama,Houston,Houston,Alabama,Baylor,Gonzaga,-15.084444444444443,9.0
Gonzaga,Gonzaga,San Diego State,San Diego State,Michigan,Ohio State,Gonzaga,-15.093333333333334,6.0
Houston,Gonzaga,Houston,Houston,Texas,Ohio State,Gonzaga,-15.1025,8.0
Baylor,Alabama,Baylor,Houston,Alabama,Baylor,Gonzaga,-15.19714285714286,14.0
Baylor,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,-15.203636363636365,11.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Kansas,-15.24307692307692,13.0
Iowa,Iowa,Houston,Houston,Texas,Baylor,Iowa,-15.276666666666666,6.0
Baylor,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,-15.283333333333335,36.0
Baylor,Alabama,Baylor,West Virginia,Alabama,Baylor,Iowa,-15.319999999999999,6.0
Gonzaga,Gonzaga,Purdue,Houston,Alabama,Purdue,Gonzaga,-15.37,6.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,-15.397241379310344,29.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Iowa,-15.418461538461534,13.0
Baylor,Florida State,Baylor,Illinois,Florida State,Baylor,Gonzaga,-15.498260869565216,23.0
Houston,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,-15.56046511627907,43.0
Gonzaga,Gonzaga,Arkansas,Illinois,Alabama,Arkansas,Gonzaga,-15.614117647058823,17.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,-15.653508771929825,114.0
Gonzaga,Gonzaga,Texas Tech,Illinois,Alabama,Texas Tech,Gonzaga,-15.701333333333334,15.0
Illinois,Kansas,Illinois,Illinois,Alabama,Baylor,Kansas,-15.722857142857142,14.0
Houston,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,-15.754545454545452,22.0
Illinois,Florida State,Illinois,Illinois,Florida State,Baylor,Gonzaga,-15.799999999999997,20.0
Gonzaga,Gonzaga,Houston,Houston,Brigham Young,Baylor,Gonzaga,-15.815555555555553,9.0
Baylor,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,-15.884999999999996,28.0
Alabama,Alabama,Houston,Houston,Alabama,Baylor,Gonzaga,-15.886000000000001,10.0
Iowa,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,-15.900000000000004,13.0
Illinois,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,-15.917368421052634,38.0
Illinois,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,-15.95444444444444,72.0
Houston,Michigan,Houston,Houston,Michigan,Ohio State,Gonzaga,-15.972500000000002,8.0
Houston,Iowa,Houston,Houston,Texas,Ohio State,Iowa,-15.993333333333332,6.0
Iowa,Iowa,Ohio State,Houston,Michigan,Ohio State,Iowa,-16.005,8.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,-16.00846153846154,52.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Arkansas,Gonzaga,-16.01,12.0
Baylor,Virginia,Baylor,Illinois,Alabama,Baylor,Virginia,-16.014285714285712,7.0
Baylor,Alabama,Baylor,West Virginia,Alabama,Baylor,Gonzaga,-16.015714285714285,14.0
Iowa,Iowa,Houston,Houston,Alabama,Baylor,Iowa,-16.022499999999997,8.0
Illinois,Virginia,Illinois,Illinois,Alabama,Baylor,Virginia,-16.055384615384618,13.0
Baylor,Gonzaga,Baylor,Illinois,Brigham Young,Baylor,Gonzaga,-16.06,7.0
Baylor,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,-16.064444444444447,18.0
Florida State,Florida State,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,-16.066666666666666,6.0
Illinois,Virginia,Illinois,Illinois,Michigan,Ohio State,Virginia,-16.076363636363634,11.0
Baylor,Iowa,Baylor,Houston,Texas,Baylor,Iowa,-16.093333333333334,12.0
Illinois,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,-16.13529411764706,17.0
Houston,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,-16.13625,32.0
Illinois,Gonzaga,Illinois,Illinois,Colorado,Ohio State,Gonzaga,-16.149999999999995,6.0
Florida State,Florida State,Houston,Houston,Florida State,Baylor,Gonzaga,-16.1625,8.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Virginia,-16.162857142857142,7.0
Iowa,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,-16.163030303030304,33.0
Gonzaga,Gonzaga,Purdue,Illinois,Michigan,Purdue,Gonzaga,-16.165833333333335,24.0
Illinois,Florida State,Illinois,Illinois,Florida State,Ohio State,Gonzaga,-16.16666666666667,9.0
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,-16.190458715596346,109.0
Illinois,Kansas,Illinois,Illinois,Florida State,Baylor,Kansas,-16.2,11.0
Baylor,Iowa,Baylor,West Virginia,Alabama,Baylor,Iowa,-16.21,6.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,-16.22125,16.0
Illinois,Iowa,Illinois,Illinois,Florida State,Ohio State,Iowa,-16.232727272727274,11.0
