winner,EV,n
Illinois,7.648121739130436,345.0
Baylor,7.14805820610687,262.0
Gonzaga,4.918305613850992,953.0
Iowa,-1.2335043478260868,115.0
Houston,-3.7805635593220344,59.0
Alabama,-6.798507142857143,70.0
Ohio State,-6.959645408163265,98.0
Michigan,-6.985850247524749,202.0
Florida State,-11.669020833333333,24.0
Virginia,-12.101951612903227,31.0
Texas,-13.211634146341462,41.0
Kansas,-13.283072916666667,48.0
West Virginia,-14.278654761904761,21.0
Oklahoma State,-15.99977142857143,35.0
