winner,f1,f2,EV,n
Florida State,Florida State,Ohio State,-12.856304347826086,23.0
Gonzaga,Gonzaga,Clemson,-12.877058823529413,34.0
Texas,Texas,Illinois,-13.05355855855856,111.0
Oklahoma State,Iowa,Oklahoma State,-13.337638888888891,36.0
Gonzaga,Gonzaga,Hartford,-13.555757575757577,33.0
Purdue,Michigan,Purdue,-13.561250000000003,24.0
West Virginia,Michigan,West Virginia,-13.964838709677418,31.0
Creighton,Creighton,Illinois,-14.091304347826087,23.0
Southern California,Southern California,Illinois,-14.107777777777777,18.0
Gonzaga,Gonzaga,Liberty,-14.309375000000003,16.0
Creighton,Creighton,Baylor,-14.478333333333332,27.0
Arkansas,Michigan,Arkansas,-14.49844827586207,29.0
Oklahoma State,Alabama,Oklahoma State,-14.673333333333334,27.0
Louisiana State,Louisiana State,Baylor,-14.735454545454548,22.0
Gonzaga,Gonzaga,Drexel,-14.786730769230767,26.0
Southern California,Southern California,Baylor,-14.801562500000001,16.0
Purdue,Gonzaga,Purdue,-14.83333333333333,48.0
West Virginia,Gonzaga,West Virginia,-15.020247933884303,121.0
Texas Tech,Michigan,Texas Tech,-15.070625000000003,16.0
Tennessee,Gonzaga,Tennessee,-15.367125000000001,40.0
Texas,Texas,Oklahoma State,-15.444444444444443,27.0
Texas Tech,Gonzaga,Texas Tech,-15.56090909090909,33.0
Connecticut,Connecticut,Illinois,-15.615869565217393,23.0
Arkansas,Gonzaga,Arkansas,-15.706136363636361,66.0
Wisconsin,Gonzaga,Wisconsin,-15.731290322580646,31.0
Brigham Young,Brigham Young,Baylor,-15.851315789473682,19.0
Louisiana State,Louisiana State,Illinois,-16.21739130434783,23.0
North Carolina,Michigan,North Carolina,-16.238333333333333,24.0
Oklahoma State,Michigan,Oklahoma State,-16.258584905660378,53.0
Brigham Young,Brigham Young,Illinois,-16.280714285714286,21.0
Oklahoma State,Texas,Oklahoma State,-16.512727272727275,22.0
Oregon,Oregon,Illinois,-16.555416666666662,24.0
Connecticut,Connecticut,Baylor,-16.56,20.0
San Diego State,Gonzaga,San Diego State,-16.58857142857143,21.0
Oklahoma,Oklahoma,Ohio State,-16.603823529411763,17.0
Oregon,Oregon,Baylor,-16.69018518518519,27.0
Oklahoma,Oklahoma,Baylor,-16.837142857142858,28.0
Oklahoma State,Gonzaga,Oklahoma State,-16.89223076923078,130.0
Oklahoma,Oklahoma,Illinois,-16.95344827586207,29.0
Villanova,Gonzaga,Villanova,-17.044565217391302,46.0
North Carolina,Gonzaga,North Carolina,-17.29631578947368,57.0
Norfolk State,Norfolk State,Baylor,-17.351904761904763,21.0
Loyola (IL),Gonzaga,Loyola (IL),-17.450675675675676,37.0
Missouri,Missouri,Illinois,-17.762916666666666,24.0
Norfolk State,Norfolk State,Illinois,-18.133125,24.0
Missouri,Missouri,Baylor,-18.295294117647057,17.0
Georgia Tech,Gonzaga,Georgia Tech,-18.385,24.0
Clemson,Gonzaga,Clemson,-18.697777777777777,18.0
Drexel,Gonzaga,Drexel,-19.030555555555555,18.0
