pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
80,12,0.12,0.42,30.0,50.0,Gonzaga,Texas,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
80,5,0.08,0.38,23.0,42.0,Gonzaga,Alabama,Houston,Baylor,Gonzaga,Baylor,Gonzaga
80,17,0.11,0.26,23.0,48.0,Iowa,Michigan,Illinois,Baylor,Iowa,Illinois,Illinois
80,15,0.09,0.32,23.0,45.0,Gonzaga,Florida State,Houston,Baylor,Gonzaga,Baylor,Baylor
80,24,0.07,0.25,18.0,41.0,Gonzaga,Alabama,Illinois,Arkansas,Gonzaga,Illinois,Gonzaga
80,4,0.07,0.23,17.0,40.0,Gonzaga,Connecticut,Houston,Baylor,Gonzaga,Baylor,Gonzaga
80,16,0.06,0.24,17.0,39.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Ohio State,Gonzaga
80,7,0.04,0.28,16.0,34.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Baylor
80,10,0.06,0.21,15.0,38.0,Gonzaga,Michigan,Houston,North Carolina,Gonzaga,Houston,Gonzaga
80,11,0.03,0.25,13.0,30.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
80,14,0.05,0.18,13.0,36.0,Gonzaga,Alabama,Houston,Ohio State,Gonzaga,Ohio State,Ohio State
80,2,0.03,0.18,10.0,28.0,Gonzaga,Michigan,Houston,Baylor,Michigan,Baylor,Baylor
80,13,0.04,0.12,9.0,31.0,Iowa,Alabama,West Virginia,Baylor,Iowa,Baylor,Iowa
80,23,0.02,0.14,8.0,27.0,Gonzaga,Michigan,Illinois,Baylor,Michigan,Illinois,Michigan
80,19,0.04,0.12,8.0,30.0,Southern California,Alabama,Illinois,Arkansas,Alabama,Illinois,Illinois
80,9,0.02,0.08,5.0,22.0,Virginia,Michigan,Illinois,Virginia Tech,Michigan,Illinois,Michigan
80,0,0.02,0.06,4.0,20.0,Southern California,Michigan,Houston,Baylor,Southern California,Houston,Southern California
80,8,0.02,0.06,4.0,22.0,Gonzaga,Michigan,Houston,Ohio State,Michigan,Houston,Michigan
80,18,0.01,0.04,3.0,17.0,Gonzaga,Alabama,Oklahoma State,Arkansas,Alabama,Oklahoma State,Alabama
80,22,0.01,0.06,3.0,14.0,Gonzaga,Maryland,Houston,Baylor,Maryland,Houston,Maryland
80,1,0.01,0.02,2.0,13.0,UC-Santa Barbara,Florida State,Illinois,Villanova,UC-Santa Barbara,Villanova,Villanova
80,3,0.01,0.04,2.0,16.0,Kansas,Michigan,Houston,Baylor,Michigan,Baylor,Michigan
80,6,0.0,0.02,1.0,10.0,Southern California,Brigham Young,Houston,Baylor,Southern California,Houston,Southern California
80,20,0.0,0.02,1.0,9.0,Gonzaga,Alabama,Houston,Hartford,Gonzaga,Hartford,Hartford
80,21,0.0,0.02,1.0,10.0,Oklahoma,Michigan,West Virginia,Arkansas,Oklahoma,Arkansas,Oklahoma
