,Bracket Name,Picks,Round,Winner,Correct?,Points,Total
0,JHAM,Duke,1.0,Duke,True,1.0,82.0
1,JHAM,VCU,1.0,UCF,False,0.0,82.0
2,JHAM,Mississippi St,1.0,Liberty,False,0.0,82.0
3,JHAM,Virginia Tech,1.0,Virginia Tech,True,1.0,82.0
4,JHAM,Maryland,1.0,Maryland,True,1.0,82.0
5,JHAM,LSU,1.0,LSU,True,1.0,82.0
6,JHAM,Louisville,1.0,Minnesota,False,0.0,82.0
7,JHAM,Michigan State,1.0,Michigan State,True,1.0,82.0
8,JHAM,Gonzaga,1.0,Gonzaga,True,1.0,82.0
9,JHAM,Syracuse,1.0,Baylor,False,0.0,82.0
10,JHAM,Murray State,1.0,Murray State,True,1.0,82.0
11,JHAM,Florida St,1.0,Florida St,True,1.0,82.0
12,JHAM,Buffalo,1.0,Buffalo,True,1.0,82.0
13,JHAM,Texas Tech,1.0,Texas Tech,True,1.0,82.0
14,JHAM,Florida,1.0,Florida,True,1.0,82.0
15,JHAM,Michigan,1.0,Michigan,True,1.0,82.0
16,JHAM,Virginia,1.0,Virginia,True,1.0,82.0
17,JHAM,Oklahoma,1.0,Oklahoma,True,1.0,82.0
18,JHAM,Oregon,1.0,Oregon,True,1.0,82.0
19,JHAM,Kansas State,1.0,UC Irvine,False,0.0,82.0
20,JHAM,Villanova,1.0,Villanova,True,1.0,82.0
21,JHAM,Purdue,1.0,Purdue,True,1.0,82.0
22,JHAM,Cincinnati,1.0,Iowa,False,0.0,82.0
23,JHAM,Tennessee,1.0,Tennessee,True,1.0,82.0
24,JHAM,North Carolina,1.0,North Carolina,True,1.0,82.0
25,JHAM,Utah State,1.0,Washington,False,0.0,82.0
26,JHAM,Auburn,1.0,Auburn,True,1.0,82.0
27,JHAM,Kansas,1.0,Kansas,True,1.0,82.0
28,JHAM,Iowa State,1.0,Ohio State,False,0.0,82.0
29,JHAM,Houston,1.0,Houston,True,1.0,82.0
30,JHAM,Wofford,1.0,Wofford,True,1.0,82.0
31,JHAM,Kentucky,1.0,Kentucky,True,1.0,82.0
32,JHAM,Duke,2.0,Duke,True,2.0,82.0
33,JHAM,Virginia Tech,2.0,Virginia Tech,True,2.0,82.0
34,JHAM,LSU,2.0,LSU,True,2.0,82.0
35,JHAM,Michigan State,2.0,Michigan State,True,2.0,82.0
36,JHAM,Gonzaga,2.0,Gonzaga,True,2.0,82.0
37,JHAM,Florida St,2.0,Florida St,True,2.0,82.0
